0,1,2,3
2017-01-31,10.8323,11.6711,-0.8388
2017-01-30,11.8128,11.8807,-0.0680
2017-01-27,12.6857,11.8977,0.7880
2017-01-26,12.2113,11.7007,0.5106
2017-01-25,11.2256,11.5731,-0.3476
2017-01-24,9.6320,11.6600,-2.0280
2017-01-23,9.3212,12.1670,-2.8458
2017-01-20,10.3030,12.8784,-2.5754
2017-01-19,10.7842,13.5223,-2.7381
2017-01-18,12.0173,14.2068,-2.1895
2017-01-17,12.5816,14.7542,-2.1726
2017-01-13,13.5260,15.2973,-1.7713
2017-01-12,13.8474,15.7402,-1.8928
2017-01-11,14.4839,16.2134,-1.7295
2017-01-10,14.5887,16.6457,-2.0570
2017-01-09,15.1640,17.1600,-1.9960
2017-01-06,15.6776,17.6590,-1.9814
2017-01-05,15.2825,18.1543,-2.8718
2017-01-04,15.3685,18.8723,-3.5038
2017-01-03,15.0764,19.7483,-4.6718
2016-12-30,15.7999,20.9162,-5.1163
2016-12-29,18.4280,22.1953,-3.7673
2016-12-28,20.4524,23.1371,-2.6848
2016-12-27,22.6716,23.8083,-1.1368
2016-12-23,23.2438,24.0925,-0.8487
2016-12-22,24.1544,24.3047,-0.1503
2016-12-21,25.2534,24.3423,0.9111
2016-12-20,25.8592,24.1145,1.7447
2016-12-19,25.6880,23.6783,2.0097
2016-12-16,25.9339,23.1759,2.7581
2016-12-15,26.3247,22.4864,3.8383
2016-12-14,26.0373,21.5268,4.5106
2016-12-13,26.1828,20.3992,5.7836
2016-12-12,24.1100,18.9532,5.1568
2016-12-09,22.6165,17.6641,4.9525
2016-12-08,20.1197,16.4259,3.6938
2016-12-07,17.9985,15.5025,2.4960
2016-12-06,15.5220,14.8785,0.6435
2016-12-05,15.1002,14.7176,0.3826
2016-12-02,15.1080,14.6220,0.4860
2016-12-01,16.1973,14.5005,1.6968
2016-11-30,17.4407,14.0763,3.3644
2016-11-29,17.9869,13.2352,4.7517
2016-11-28,17.8269,12.0473,5.7796
2016-11-25,17.6627,10.6023,7.0603
2016-11-23,16.0120,8.8373,7.1747
2016-11-22,14.5509,7.0436,7.5074
2016-11-21,12.6557,5.1667,7.4889
2016-11-18,10.5372,3.2945,7.2427
2016-11-17,9.3376,1.4838,7.8538
2016-11-16,7.1391,-0.4796,7.6188
2016-11-15,5.2658,-2.3843,7.6501
2016-11-14,2.4469,-4.2969,6.7437
2016-11-11,0.4617,-5.9828,6.4445
2016-11-10,-2.1042,-7.5939,5.4897
2016-11-09,-5.6572,-8.9664,3.3092
2016-11-08,-9.6801,-9.7937,0.1135
2016-11-07,-12.2610,-9.8221,-2.4389
2016-11-04,-14.5581,-9.2123,-5.3458
2016-11-03,-12.5600,-7.8759,-4.6841
2016-11-02,-10.1814,-6.7049,-3.4766
2016-11-01,-7.9422,-5.8357,-2.1065
2016-10-31,-6.3717,-5.3091,-1.0627
2016-10-28,-5.7438,-5.0434,-0.7004
2016-10-27,-4.8852,-4.8683,-0.0169
2016-10-26,-4.3934,-4.8641,0.4707
2016-10-25,-4.3523,-4.9818,0.6295
2016-10-24,-4.6163,-5.1392,0.5228
2016-10-21,-5.7181,-5.2699,-0.4482
2016-10-20,-6.0056,-5.1578,-0.8478
2016-10-19,-6.3036,-4.9459,-1.3578
2016-10-18,-6.8927,-4.6064,-2.2863
2016-10-17,-7.0667,-4.0348,-3.0319
2016-10-14,-5.8523,-3.2769,-2.5754
2016-10-13,-4.8768,-2.6330,-2.2438
2016-10-12,-3.5171,-2.0721,-1.4450
2016-10-11,-2.4055,-1.7108,-0.6947
2016-10-10,-0.7022,-1.5371,0.8350
2016-10-07,-1.2599,-1.7459,0.4859
2016-10-06,-0.9435,-1.8674,0.9239
2016-10-05,-1.2416,-2.0983,0.8568
2016-10-04,-1.4981,-2.3125,0.8144
2016-10-03,-0.8630,-2.5161,1.6531
2016-09-30,-1.1303,-2.9294,1.7991
2016-09-29,-2.1748,-3.3792,1.2043
2016-09-28,-1.7313,-3.6803,1.9490
2016-09-27,-3.2007,-4.1675,0.9668
2016-09-26,-3.8649,-4.4092,0.5443
2016-09-23,-3.2483,-4.5453,1.2970
2016-09-22,-4.3069,-4.8695,0.5626
2016-09-21,-6.8670,-5.0102,-1.8569
2016-09-20,-8.6033,-4.5460,-4.0573
2016-09-19,-8.3158,-3.5316,-4.7841
2016-09-16,-7.7627,-2.3356,-5.4271
2016-09-15,-6.9479,-0.9788,-5.9690
2016-09-14,-6.6316,0.5134,-7.1450
2016-09-13,-3.9433,2.2997,-6.2430
2016-09-12,-0.5820,3.8604,-4.4424
2016-09-09,0.4565,4.9710,-4.5145
2016-09-08,4.9551,6.0996,-1.1446
2016-09-07,5.1786,6.3858,-1.2072
2016-09-06,4.8938,6.6876,-1.7938
2016-09-02,4.4264,7.1360,-2.7096
2016-09-01,4.4274,7.8134,-3.3861
2016-08-31,5.2927,8.6599,-3.3672
2016-08-30,6.3112,9.5017,-3.1906
2016-08-29,6.9928,10.2994,-3.3066
2016-08-26,7.3274,11.1260,-3.7987
2016-08-25,8.8025,12.0757,-3.2733
2016-08-24,10.2079,12.8940,-2.6861
