timestamp,open,high,low,close,volume,ATR Date,ATR,Boll Date,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI Date,CCI ,EMA 20 Date,EMA20,MA5 Date,MA5,MA10 Date,MA10,MACD Date,MACD Value,MACD Signal,MACD Hist
12/28/09,1127.53,1130.38,1123.51,1127.78,2716400000,12/28/09,11.249,12/28/09,1107.811,1127.4261,1088.1959,12/28/09,207.905,12/28/09,1109.1548,12/28/09,1121.384,12/28/09,1113.669,12/28/09,8.2822,6.8021,1.4802
12/24/09,1121.08,1126.48,1121.08,1126.48,1267710000,12/24/09,11.5858,12/24/09,1105.9965,1124.5735,1087.4195,12/24/09,199.3198,12/24/09,1107.1943,12/24/09,1116.322,12/24/09,1111.532,12/24/09,7.5537,6.432,1.1216
12/23/09,1118.84,1121.58,1116,1120.59,3166870000,12/23/09,12.024,12/23/09,1105.204,1121.4204,1088.9876,12/23/09,165.1058,12/23/09,1105.1642,12/23/09,1110.242,12/23/09,1109.119,12/23/09,6.6462,6.1516,0.4946
12/22/09,1114.51,1120.27,1114.51,1118.02,3641130000,12/22/09,12.5196,12/22/09,1104.457,1119.0664,1089.8476,12/22/09,156.686,12/22/09,1103.5404,12/22/09,1107.96,12/22/09,1106.655,12/22/09,5.9911,6.028,-0.0369
12/21/09,1105.3101,1117.6801,1105.3101,1114.05,3977340000,12/21/09,13.0042,12/21/09,1103.868,1117.1304,1090.6056,12/21/09,109.6513,12/21/09,1102.0163,12/21/09,1105.942,12/21/09,1104.047,12/21/09,5.3294,6.0372,-0.7078
12/18/09,1097.86,1103.74,1093.88,1102.47,6325890000,12/18/09,12.8346,12/18/09,1102.7345,1116.1958,1089.2732,12/18/09,-0.2616,12/18/09,1100.7496,12/18/09,1105.954,12/18/09,1102.967,12/18/09,4.8115,6.2141,-1.4026
12/17/09,1106.36,1106.36,1095.88,1096.08,7615070000,12/17/09,13.0634,12/17/09,1102.356,1116.2447,1088.4673,12/17/09,5.2799,12/17/09,1100.5685,12/17/09,1106.742,12/17/09,1103.318,12/17/09,5.2596,6.5648,-1.3052
12/16/09,1108.61,1116.21,1107.96,1109.1801,4829820000,12/16/09,13.0452,12/16/09,1103.042,1116.9782,1089.1058,12/16/09,86.9683,12/16/09,1101.0409,12/16/09,1107.996,12/16/09,1103.702,12/16/09,6.4056,6.8911,-0.4855
12/15/09,1114.11,1114.11,1105.35,1107.9301,5045100000,12/15/09,13.4117,12/15/09,1103.099,1117.144,1089.054,12/15/09,77.1341,12/15/09,1100.1842,12/15/09,1105.35,12/15/09,1103.708,12/15/09,6.4414,7.0125,-0.5711
12/14/09,1107.84,1114.76,1107.84,1114.11,4548490000,12/14/09,13.7695,12/14/09,1103.1675,1117.3191,1089.0159,12/14/09,93.1411,12/14/09,1099.3688,12/14/09,1102.152,12/14/09,1103.801,12/14/09,6.5206,7.1552,-0.6347
12/11/09,1103.96,1108.5,1101.34,1106.41,3791090000,12/11/09,14.1864,12/11/09,1102.136,1115.9502,1088.3218,12/11/09,62.9955,12/11/09,1097.8171,12/11/09,1099.98,12/11/09,1101.953,12/11/09,5.8976,7.3139,-1.4163
12/10/09,1098.6899,1106.25,1098.6899,1102.35,3996490000,12/10/09,14.7269,12/10/09,1101.1775,1116.2733,1086.0817,12/10/09,52.8206,12/10/09,1096.9126,12/10/09,1099.894,12/10/09,1100.461,12/10/09,5.8007,7.668,-1.8673
12/9/09,1091.0699,1097.04,1085.89,1095.95,4115410000,12/9/09,15.0675,12/9/09,1100.9855,1116.1144,1085.8566,12/9/09,21.1504,12/9/09,1096.3403,12/9/09,1099.408,12/9/09,1101.289,12/9/09,6.006,8.1348,-2.1289
12/8/09,1103.04,1103.04,1088.61,1091.9399,4748030000,12/8/09,15.3688,12/8/09,1100.8385,1116.2154,1085.4616,12/8/09,28.6879,12/8/09,1096.3814,12/8/09,1102.066,12/8/09,1102.259,12/8/09,6.8323,8.6671,-1.8348
12/7/09,1105.52,1110.72,1100.83,1103.25,4103360000,12/7/09,15.4249,12/7/09,1100.8955,1116.1479,1085.6431,12/7/09,65.1683,12/7/09,1096.8489,12/7/09,1105.45,12/7/09,1103.689,12/7/09,8.1959,9.1257,-0.9299
12/4/09,1100.4301,1119.13,1096.52,1105.98,5781140000,12/4/09,15.8506,12/4/09,1099.198,1119.6835,1078.7125,12/4/09,76.6827,12/4/09,1096.1751,12/4/09,1103.926,12/4/09,1102.502,12/4/09,8.6655,9.3582,-0.6927
12/3/09,1110.59,1117.28,1098.74,1099.92,4810030000,12/3/09,15.3307,12/3/09,1097.2305,1121.8701,1072.5909,12/3/09,74.2935,12/3/09,1095.143,12/3/09,1101.028,12/3/09,1101.394,12/3/09,8.861,9.5314,-0.6704
12/2/09,1109.03,1115.58,1105.29,1109.24,3941340000,12/2/09,15.0838,12/2/09,1094.5595,1127.6025,1061.5165,12/2/09,94.889,12/2/09,1094.6401,12/2/09,1103.17,12/2/09,1102.382,12/2/09,9.5986,9.699,-0.1004
12/1/09,1098.89,1112.28,1098.89,1108.86,4249310000,12/1/09,15.4525,12/1/09,1091.368,1129.9832,1052.7529,12/1/09,86.9149,12/1/09,1093.1033,12/1/09,1102.452,12/1/09,1102.49,12/1/09,9.4515,9.7241,-0.2726
