0,1,2,3
2017-06-13,2413.0290,2460.2229,2365.8352
2017-06-12,2411.1275,2456.8051,2365.4499
2017-06-09,2409.2030,2454.8840,2363.5220
2017-06-08,2407.3365,2452.2203,2362.4527
2017-06-07,2405.6285,2448.9276,2362.3294
2017-06-06,2403.8175,2445.3564,2362.2786
2017-06-05,2402.3200,2442.1982,2362.4418
2017-06-02,2400.4795,2437.2264,2363.7325
2017-06-01,2398.0020,2430.4360,2365.5680
2017-05-31,2395.9055,2425.0316,2366.7794
2017-05-30,2394.8740,2423.1234,2366.6245
2017-05-26,2393.6450,2420.7650,2366.5250
2017-05-25,2392.0640,2417.4606,2366.6673
2017-05-24,2390.7490,2413.8658,2367.6321
2017-05-23,2389.9020,2412.1838,2367.6201
2017-05-22,2389.4115,2411.3509,2367.4720
2017-05-19,2388.4180,2411.2155,2365.6204
2017-05-18,2386.7660,2415.3234,2358.2085
2017-05-17,2386.2720,2416.5581,2355.9859
2017-05-16,2385.3290,2420.0483,2350.6096
2017-05-15,2382.4050,2421.0878,2343.7222
2017-05-12,2379.7395,2419.8850,2339.5939
2017-05-11,2376.6420,2422.0764,2331.2075
2017-05-10,2374.1665,2420.8307,2327.5022
2017-05-09,2371.8740,2417.8084,2325.9395
2017-05-08,2369.8860,2414.7414,2325.0306
2017-05-05,2367.6940,2410.8214,2324.5666
2017-05-04,2365.6040,2406.3920,2324.8160
2017-05-03,2363.7755,2403.3724,2324.1785
2017-05-02,2362.3770,2400.3780,2324.3759
2017-05-01,2360.7605,2396.4021,2325.1189
2017-04-28,2359.4800,2392.8344,2326.1256
2017-04-27,2358.6730,2390.3340,2327.0120
2017-04-26,2357.2910,2385.8361,2328.7459
2017-04-25,2355.8470,2380.8449,2330.8491
2017-04-24,2353.4960,2374.2024,2332.7896
2017-04-21,2351.9875,2370.7610,2333.2140
2017-04-20,2351.8510,2370.7577,2332.9443
2017-04-19,2351.4815,2370.3507,2332.6123
2017-04-18,2351.7740,2369.9784,2333.5696
2017-04-17,2353.3380,2373.2726,2333.4034
2017-04-13,2354.8000,2377.3658,2332.2342
2017-04-12,2357.4215,2379.5434,2335.2996
2017-04-11,2359.4380,2383.8696,2335.0064
2017-04-10,2360.0215,2384.4421,2335.6009
2017-04-07,2360.8370,2385.9017,2335.7723
2017-04-06,2361.6900,2387.1339,2336.2461
2017-04-05,2362.0590,2387.4626,2336.6554
2017-04-04,2362.5605,2387.6187,2337.5023
2017-04-03,2362.9720,2388.1291,2337.8149
2017-03-31,2363.7955,2389.4313,2338.1597
2017-03-30,2364.8155,2391.7876,2337.8435
2017-03-29,2365.5085,2393.4724,2337.5446
2017-03-28,2367.2500,2398.0959,2336.4041
2017-03-27,2367.5035,2398.1425,2336.8644
2017-03-24,2368.9115,2397.1521,2340.6709
2017-03-23,2370.0795,2395.9300,2344.2289
2017-03-22,2370.9720,2394.5638,2347.3801
2017-03-21,2371.6905,2393.2857,2350.0953
2017-03-20,2372.7585,2390.5524,2354.9646
2017-03-17,2371.6430,2391.7638,2351.5222
2017-03-16,2370.0915,2392.5811,2347.6019
2017-03-15,2368.4850,2392.0826,2344.8874
2017-03-14,2366.1010,2391.9633,2340.2387
2017-03-13,2364.2410,2394.9244,2333.5576
2017-03-10,2361.3725,2398.1833,2324.5617
2017-03-09,2358.1360,2401.2686,2315.0034
2017-03-08,2354.6260,2405.6913,2303.5607
2017-03-07,2351.1310,2408.5977,2293.6643
2017-03-06,2347.3395,2409.5606,2285.1185
