timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
3/28/16,203.24,203.61,203.86,202.705,62408185,33.4584,47.3126,201.0731,203.7598,203.5819,2036.406,-25.3503,61.937,63.5674,0.4,120.6176,15.24
3/29/16,205.1208,202.76,205.25,202.4,92922863,59.6135,46.4894,201.4586,203.85,203.844,2039.943,-1.6417,66.4958,67.6883,0.43,120.6418,13.82
3/30/16,206.02,206.3,206.87,205.59,86365310,74.2433,55.7717,201.8931,204.142,204.229,2044.745,-8.9568,68.4419,69.5355,0.42,119.423,13.56
3/31/16,205.52,205.91,206.41,205.33,94584110,84.478,72.7783,202.2385,204.6042,204.447,2047.997,-18.3621,66.1413,67.5763,0.4,119.0605,13.95
4/1/16,206.92,204.35,207.14,203.98,114423478,84.1579,80.9597,202.6843,205.3642,204.676,2051.216,-3.6125,69.2573,70.3618,0.4,119.4647,13.1
4/4/16,206.25,206.83,207.07,205.89,63496969,83.4222,84.0194,203.0239,205.9662,204.863,2052.871,-14.6141,66.1212,67.1916,0.4,119.5936,14.12
4/5/16,204.1892,204.67,206.2642,203.89,99662158,61.9295,76.5032,203.1349,205.7798,204.8149,2052.228,-52.7871,57.4969,58.2789,0.4,120.128,15.42
4/6/16,206.42,204.29,206.49,203.98,91839761,56.092,67.1479,203.4478,205.8598,205.0009,2053.914,-13.3333,63.1066,63.6088,0.4,119.7106,14.09
4/7/16,203.95,205.14,205.56,203.09,113859037,36.0956,51.3724,203.4956,205.5458,205.075,2054.434,-59.0741,54.5256,54.9086,0.4,120.0226,16.16
4/8/16,204.4992,205.34,205.85,203.87,95040598,44.8293,45.6723,203.5912,205.0617,205.2129,2055.6,-48.9037,55.9595,56.3856,0.4,119.5559,15.36
4/11/16,204.0201,205.25,206.07,203.91,83757486,27.9992,36.308,203.632,204.6157,205.2909,2056.094,-57.7759,54.3495,54.4905,0.41,119.1048,16.26
4/12/16,205.92,204.22,206.25,203.7,115350567,48.6661,40.4982,203.8499,204.9619,205.3708,2056.765,-22.5926,59.3449,59.6294,0.4,118.951,14.85
4/13/16,208.0008,207,208.1,206.84,96336433,69.537,48.7341,204.2453,205.278,205.5689,2058.612,-1.5597,63.9923,64.1973,0.41,119.3009,13.84
4/14/16,208.01,208.07,208.6,207.6,65212883,89.7381,69.3138,204.6038,206.09,205.8179,2060.916,-9.5161,64.0119,64.273,0.41,119.3228,13.72
4/15/16,207.78,208.01,208.1721,207.4,75761615,89.7481,83.0078,204.9063,206.7462,205.9039,2061.711,-13.2258,63.0879,63.4502,0.41,119.3454,13.62
4/18/16,209.2392,207.14,209.28,207,82530960,90.1644,89.8836,205.319,207.79,206.2028,2064.532,-0.6591,66.4015,66.5152,0.42,119.1497,13.35
4/19/16,209.9,209.74,210.2,208.94,88316060,91.2019,90.3715,205.7552,208.586,206.7739,2070.095,-4.2194,67.8107,67.8915,0.41,118.4127,13.24
4/20/16,210.1,209.95,210.92,209.39,81100314,89.8073,90.3912,206.169,209.0058,207.1419,2073.669,-10.4725,68.2448,68.2396,0.41,118.5374,13.28
4/21/16,208.97,210.12,210.25,208.65,85695041,73.4694,84.8262,206.4358,209.1978,207.6439,2078.626,-24.9042,63.0692,63.202,0.41,119.0376,13.95
4/22/16,208.97,208.55,209.29,207.91,99251724,59.8639,74.3802,206.6771,209.4358,208.091,2083.024,-24.9042,63.0692,63.2288,0.38,119.4732,13.22
4/25/16,208.61,208.26,208.66,207.54,66166494,44.0557,59.1297,206.8612,209.31,208.55,2087.604,-29.5019,61.3501,61.4055,0.39,119.4272,14.08
4/26/16,208.9192,209.04,209.52,208.36,75864174,40.9055,48.2751,207.0572,209.1138,208.8499,2090.602,-25.553,62.3006,62.6036,0.4,118.9975,13.96
4/27/16,209.35,208.47,209.81,208.05,77329437,46.4171,43.7928,207.2756,208.9638,208.9848,2091.875,-21.7452,63.6422,63.6751,0.42,119.0888,13.77
4/28/16,207.4475,208.46,209.76,206.96,97216169,41.5666,42.9631,207.292,208.6593,208.9286,2091.178,-48.0956,54.4303,54.2849,0.42,118.3957,15.22
4/29/16,206.3308,206.72,207.13,205.03,142424137,37.0361,41.6732,207.2004,208.1315,208.7837,2089.635,-63.5623,49.8676,49.972,0.42,118.0094,15.7
5/2/16,207.97,206.92,208.18,206.41,62188015,35.275,37.9592,207.2737,208.0035,208.6567,2088.344,-50.0849,55.7335,55.7787,0.42,117.8568,14.68
