timestamp,close,open,high,low,volume,ATR,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI ,EMA20,MA5,MA10,MACD Value,MACD Signal,MACD Hist,MOM 6,MOM12,ROC,SlowK,SlowD,WVAD,TNX close
11/9/15,2078.5801,2096.5601,2096.5601,2068.24,3882350000,22.2585,2062.799,2133.3594,1992.2386,72.6243,2064.2673,2097.962,2091.887,28.3366,28.5788,-0.2422,-26.75,46.66,-1.2706,42.8323,55.7952,-38.1824,2.342
11/6/15,2099.2,2098.6001,2101.9099,2083.74,4369020000,21.5891,2059.743,2132.5628,1986.9232,94.7104,2062.7607,2103.056,2091.147,30.9313,28.6394,2.2919,-16.9001,67.99,-0.7986,56.3031,68.7148,-17.4089,2.333
11/5/15,2099.9299,2101.6799,2108.78,2090.4099,4051890000,21.8521,2055.5275,2128.4839,1982.5711,106.8502,2058.925,2099.088,2088.742,31.6937,28.0664,3.6273,11.9299,76.36,0.5714,68.2502,76.6983,-16.6734,2.245
11/4/15,2102.3101,2110.6001,2114.5901,2096.98,4078870000,22.12,2051.2025,2123.3685,1979.0365,119.2781,2054.6086,2096.984,2084,32.1316,27.1595,4.972,22.1602,90.2101,1.0653,81.5909,81.0856,-14.2756,2.23
11/3/15,2109.79,2102.6299,2116.48,2097.51,4272060000,22.4669,2045.8785,2117.8881,1973.8689,130.8593,2049.5874,2094.592,2075.663,31.9807,25.9165,6.0641,20.3301,91.98,0.973,80.2536,81.5304,-5.5745,2.22
11/2/15,2104.05,2080.76,2106.2,2080.76,3760020000,22.7359,2039.385,2110.5881,1968.1819,125.3729,2043.2503,2085.812,2067.761,30.5613,24.4005,6.1608,-10.4399,86,-0.4937,81.4122,84.6445,-1.8619,2.187
10/30/15,2079.3601,2090,2094.3201,2079.3401,4256200000,22.4202,2033.535,2101.6853,1965.3846,118.4553,2036.8504,2079.238,2060.722,28.8896,22.8603,6.0293,-28.9299,84.7101,-1.3722,82.9254,86.8576,-14.4415,2.151
10/29/15,2089.4099,2088.3501,2092.52,2082.6299,4008940000,22.9925,2027.135,2100.6958,1953.5742,133.47,2032.3756,2078.3959,2056.097,28.8496,21.353,7.4966,3.8999,107.1099,0.187,89.5958,87.7507,-3.0554,2.173
10/28/15,2090.3501,2066.48,2090.3501,2063.1101,4698110000,24.0004,2018.8555,2099.4542,1938.2568,135.5321,2026.372,2071.016,2049.542,27.3556,19.4788,7.8768,-16.5,105.3,-0.7832,88.0517,88.0947,0,2.092
10/27/15,2065.8899,2068.75,2070.3701,2058.8401,4216880000,23.7512,2010.3395,2094.8206,1925.8583,123.2724,2019.6375,2056.7339,2039.931,24.9551,17.5096,7.4455,-48.8701,104.2599,-2.3109,85.6045,85.2175,-15.0202,2.028
10/26/15,2071.1799,2075.0801,2075.1399,2066.53,3385800000,24.629,2001.2495,2098.0853,1904.4137,143.9362,2014.7688,2049.71,2033.711,24.0187,15.6483,8.3705,-37.74,106.6,-1.7895,90.628,82.0545,-8.2866,2.058
10/23/15,2075.1499,2058.1899,2079.74,2058.1899,4108460000,25.8604,1991.779,2096.1601,1887.3978,157.5729,2008.8308,2042.206,2028.339,21.9356,13.5557,8.3799,-42.54,124.33,-2.0088,79.4201,77.8032,-4.2599,2.083
10/22/15,2052.51,2021.88,2055.2,2021.88,4430850000,25.7551,1984.5885,2084.7336,1884.4434,123.2416,2001.8499,2033.798,2022.313,18.5535,11.4607,7.0928,-60.4199,125.4,-2.8595,76.1155,82.4335,-2.6667,2.025
10/21/15,2018.9399,2033.47,2037.97,2017.22,3627790000,24.947,1978.575,2076.0932,1881.0568,99.2512,1996.5172,2028.068,2018.405,16.2719,9.6875,6.5845,-89.02,77.6599,-4.223,77.8741,89.9862,-13.8771,2.03
10/20/15,2030.77,2033.13,2039.12,2026.61,3331500000,25.2699,1974.566,2071.7087,1877.4233,121.9321,1994.1569,2023.128,2016.094,16.5412,8.0413,8.4999,-66.52,126.76,-3.1717,93.311,88.1842,-5.742,2.071
10/19/15,2033.66,2031.73,2034.45,2022.3101,3287320000,26.2514,1970.1645,2064.6632,1875.6658,129.673,1990.3029,2017.712,2011.009,15.4398,5.9164,9.5234,-66.7399,146.9,-3.1775,98.7736,76.8334,-0.5362,2.028
10/16/15,2033.11,2024.37,2033.54,2020.46,3595430000,27.3369,1966.83,2056.7257,1876.9343,137.7507,1985.739,2014.472,2006.348,13.5151,3.5355,9.9796,-48.0699,170.35,-2.3097,72.4679,63.142,-0.2661,2.023
10/15/15,2023.86,1996.47,2024.15,1996.47,3746290000,28.4336,1963.076,2047.7031,1878.4489,120.8367,1980.7526,2010.828,1998.173,10.918,1.0406,9.8774,-81.13,161.37,-3.8542,59.2588,66.3036,-0.1905,2.023
10/14/15,1994.24,2003.66,2009.5601,1990.73,3644590000,28.32,1961.393,2042.3783,1880.4077,93.1535,1976.215,2008.742,1988.169,8.3861,-1.4287,9.8148,-112.3899,116.54,-5.3351,57.6992,78.1051,-18.6798,1.981
10/13/15,2003.6899,2015,2022.34,2001.78,3401920000,29.05,1961.4465,2042.5199,1880.3731,128.381,1974.3176,2009.06,1980.748,8.0484,-3.8824,11.9308,-92.1501,128.95,-4.3968,81.9527,90.6766,-12.3978,2.055
10/12/15,2017.46,2015.65,2018.66,2010.55,2893250000,29.7031,1960.1665,2039.3172,1881.0158,153.4204,1971.2258,2004.306,1968.788,6.5381,-6.8651,13.4033,-74.97,111.33,-3.5829,94.6634,94.8042,-1.8014,2.09
10/9/15,2014.89,2013.73,2020.13,2007.61,3706900000,31.3641,1956.945,2031.6243,1882.2657,158.3977,1966.359,1998.224,1955.219,3.1133,-10.2159,13.3293,-87.17,86.6801,-4.1469,95.4138,94.7718,-3.5353,2.099
10/8/15,2013.4301,1994.01,2016.5,1987.53,3939140000,32.8136,1954.253,2024.109,1884.397,146.9421,1961.2505,1985.518,1946.864,-1.0416,-13.5483,12.5066,-77.7499,44.54,-3.718,94.3355,94.8554,-2.1232,2.108
10/7/15,1995.83,1982.34,1999.3101,1976.4399,4666470000,33.1093,1951.196,2015.5611,1886.8309,113.9463,1955.7579,1967.596,1938.745,-6.181,-16.6749,10.4939,-86.0699,60.73,-4.1342,94.5662,92.5541,-2.7316,2.062
10/6/15,1979.92,1986.63,1991.62,1971.99,4202400000,33.8969,1948.5065,2009.5987,1887.4143,93.6604,1951.5398,1952.436,1933.038,-10.8588,-19.2984,8.4396,-96.41,15.1001,-4.6433,95.6646,85.868,-27.4857,2.035
10/5/15,1987.05,1954.33,1989.17,1954.33,4334490000,34.9944,1947.981,2008.1573,1887.8047,87.9145,1948.5524,1933.27,1929.32,-15.0516,-21.4083,6.3567,-93.5701,19.15,-4.4972,87.4314,69.3759,-22.6989,2.056
10/2/15,1951.36,1921.77,1951.36,1893.7,4378570000,34.7778,1944.6895,2003.1344,1886.2446,-34.588,1944.5001,1912.214,1927.312,-20.9101,-22.9975,2.0874,-115.6,5.1899,-5.5928,74.5081,48.8519,-46.66,1.989
10/1/15,1923.8199,1919.65,1927.21,1900.7,3983600000,33.0176,1944.678,2003.1177,1886.2383,-76.2935,1943.778,1908.21,1927.979,-24.4496,-23.5193,-0.9303,-135.87,-22.3401,-6.5966,46.1883,29.5557,-65.1494,2.042
9/30/15,1920.03,1887.14,1920.53,1887.14,4525070000,33.5182,1945.93,2003.5964,1888.2636,-98.4886,1945.8788,1909.894,1934.617,-25.8076,-23.2867,-2.5209,-147.8599,-52.26,-7.1503,25.8593,21.2374,-67.6938,2.06
9/29/15,1884.09,1881.9,1899.48,1871.91,4132390000,33.2935,1945.621,2003.9022,1887.3398,-144.8861,1948.5997,1913.64,1942.145,-26.7796,-22.6565,-4.1231,-202.15,-93.7101,-9.6897,16.6194,20.506,-91.8228,2.054
9/28/15,1881.77,1929.1801,1929.1801,1879.21,4326660000,33.7337,1950.0255,2002.0155,1898.0355,-125.4938,1955.3902,1925.37,1951.545,-23.9715,-21.6258,-2.3457,-179.25,-101.08,-8.6971,21.2334,20.9714,-98.1927,2.095
9/25/15,1931.34,1935.9301,1952.89,1921.5,3721870000,32.3186,1955.3805,1999.6329,1911.1281,-63.4729,1963.1397,1942.41,1958.671,-19.8023,-21.0393,1.237,-124.8099,-34.65,-6.0701,23.6652,18.918,-79.9715,2.168
9/24/15,1932.24,1934.8101,1937.17,1908.92,4091530000,32.3901,1958.1965,2003.1338,1913.2592,-78.7875,1966.4871,1947.748,1961.642,-19.24,-21.3486,2.1085,-128.8101,-66.0601,-6.2497,18.0155,16.3913,-79.1674,2.12
9/23/15,1938.76,1943.24,1949.52,1932.5699,3190530000,32.5862,1958.61,2002.729,1914.491,-61.3425,1970.092,1959.34,1963.647,-18.3342,-21.8757,3.5415,-152.74,-44.01,-7.3029,15.0734,21.0484,-74.8746,2.144
9/22/15,1942.74,1961.39,1961.39,1929.22,3808260000,33.789,1955.0525,2013.9869,1896.1181,-58.4778,1973.3901,1970.65,1963.975,-17.5751,-22.7611,5.186,-161.6799,-51.55,-7.6829,16.0851,35.2082,-71.2448,2.125
9/21/15,1966.97,1960.84,1979.64,1955.8,3269350000,33.4843,1952.576,2017.2545,1887.8975,-32.6883,1976.6165,1977.72,1966.642,-16.7559,-24.0576,7.3017,-141.1301,-43.4301,-6.6947,31.9868,56.3712,-45.7509,2.214
9/18/15,1958.03,1989.66,1989.66,1953.45,6021240000,34.2262,1952.772,2017.6473,1887.8967,-35.7962,1977.6319,1974.932,1962.067,-17.9336,-25.883,7.9494,-131.24,-53.33,-6.2816,57.5526,69.9553,-53.3406,2.13
9/17/15,1990.2,1995.33,2020.86,1986.73,4183790000,34.0321,1956.657,2030.949,1882.365,-2.7783,1979.6952,1975.536,1961.377,-18.2657,-27.8704,9.6047,-109.3,-11.37,-5.206,79.5742,71.4199,-26.0294,2.217
9/16/15,1995.3101,1978.02,1997.26,1977.9301,3630680000,34.0245,1961.1275,2051.89,1870.365,-15.6506,1978.5895,1967.954,1957.243,-21.6993,-30.2715,8.5722,-78.97,-3.6699,-3.8071,72.7391,62.6053,-2.0702,2.303
9/15/15,1978.09,1955.1,1983.1899,1954.3,3239860000,35.1549,1966.208,2073.8593,1858.5567,-36.6342,1976.8294,1957.3,1949.097,-26.2866,-32.4146,6.128,-103.1,-6.04,-4.9539,61.9465,55.8322,-12.7475,2.281
9/14/15,1953.03,1963.0601,1963.0601,1948.27,3000200000,35.5391,1972.4255,2095.3799,1849.4712,-56.0916,1976.6967,1955.564,1948.506,-30.006,-33.9466,3.9406,-100.3699,-32.51,-4.888,53.1303,55.7499,-32.0015,2.18
9/11/15,1961.05,1951.45,1961.05,1939.1899,3218590000,37.1352,1979.351,2112.3485,1846.3535,-60.9185,1979.188,1949.202,1952.09,-31.7652,-34.9317,3.1665,-104.8999,-36.3999,-5.0776,52.4198,55.1212,-25.6424,2.183
9/10/15,1952.29,1941.59,1965.29,1937.1899,3626320000,38.3102,1985.468,2125.5983,1845.3377,-67.3571,1981.0972,1947.218,1954.751,-34.3652,-35.7234,1.3582,-87.95,-43.3999,-4.3108,61.6996,56.2111,-48.9555,2.222
9/9/15,1942.04,1971.45,1988.63,1937.88,3652120000,39.0956,1992.156,2137.9668,1846.3452,-68.1613,1984.1296,1946.532,1953.573,-36.2919,-36.0629,-0.229,-102.12,-46.3999,-4.9957,51.2442,49.589,-64.2032,2.181
9/8/15,1969.41,1927.3,1970.42,1927.3,3548650000,38.1991,1999.2575,2148.4097,1850.1053,-74.1157,1988.56,1940.894,1946.13,-37.1796,-36.0056,-1.174,-110.0199,-32.13,-5.2909,55.6895,47.824,-55.315,2.194
9/4/15,1921.22,1947.76,1947.76,1911.21,3167090000,37.3528,2005.996,2161.2001,1850.7919,-109.4906,1990.5758,1941.448,1938.51,-40.5586,-35.7121,-4.8464,-150.04,-86.49,-7.2439,41.8333,47.9096,-77.0744,2.128
9/3/15,1951.13,1950.79,1975.01,1944.72,3520700000,37.1554,2013.8135,2166.8855,1860.7415,-89.6291,1997.8764,1954.978,1943.477,-39.3748,-34.5005,-4.8743,-149.91,-46.52,-7.135,45.9493,57.6926,-64.4253,2.168
9/2/15,1948.86,1916.52,1948.91,1916.52,3742620000,37.6835,2020.435,2173.5452,1867.3248,-119.9388,2002.7971,1962.284,1951.937,-40.3366,-33.282,-7.0546,-149.67,-51.86,-7.1321,55.9463,70.3449,-65.3853,2.193
9/1/15,1913.85,1970.09,1970.09,1903.0699,4371850000,37.8853,2027.984,2181.1219,1874.8461,-145.9235,2008.4747,1960.614,1965.012,-40.7463,-31.5183,-9.2279,-193.9301,-88.4301,-9.2007,71.1822,74.3225,-80.1912,2.172
8/31/15,1972.1801,1986.73,1986.73,1965.98,3915100000,35.4834,2036.9575,2183.1682,1890.7468,-108.3909,2018.4352,1951.366,1983.319,-37.1119,-29.2113,-7.9005,-145.2098,-31.1899,-6.858,83.9063,62.5444,-55.5231,2.2
