timestamp,open,high,low,close,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
5/31/06,128.84,128.9,128.39,128.44,78900,49.6486,44.0252,127.6359,128.188,128.264,-44.9339,58.2011,0.56,107.8565,16.44
6/1/06,127.47,128.29,127.35,128,106000,57.4713,51.4021,127.6706,128.186,128.295,-64.3172,55.2475,0.58,107.8623,14.52
6/2/06,129.25,129.44,129.06,129.25,241700,61.2715,56.1305,127.821,128.416,128.379,-8.4444,61.262,0.51,107.6354,14.32
6/5/06,129.53,129.72,129.2,129.21,190200,68.3842,62.3757,127.9533,128.76,128.507,-20.1581,60.9796,0.53,107.4242,16.65
6/6/06,128.38,128.52,128.2,128.4201,133900,71.6122,67.0893,127.9978,128.664,128.458,-51.3794,55.5349,0.54,108.2082,17.34
6/7/06,127.9,128.26,127.74,128.02,69400,50.6343,63.5436,127.9999,128.58,128.384,-67.1937,52.9557,0.56,108.2511,17.8
6/8/06,126.68,126.7952,126.3,126.66,294900,27.9828,50.0764,127.8723,128.312,128.249,-89.4737,45.2609,0.56,109.0244,18.35
6/9/06,126.64,126.91,126.42,126.5323,48900,15.1963,31.2711,127.7447,127.7685,128.0922,-93.2076,44.6055,0.51,108.6547,18.12
6/12/06,126.14,126.26,125.87,126,312500,7.4081,16.8624,127.5785,127.1265,127.9432,-96.6234,41.883,0.56,108.6836,20.96
6/13/06,125.87,126.23,125.37,125.52,114900,5.6295,9.4113,127.3824,126.5465,127.6052,-96.5517,39.5394,0.57,109.0607,23.81
6/14/06,126.47,126.53,126.05,126.05,115700,18.0839,10.3738,127.2555,126.1525,127.3662,-84.3678,43.3113,0.68,108.9583,21.46
6/15/06,126.46,126.59,126.2,126.28,42700,36.1457,19.953,127.1626,126.0765,127.1942,-79.0805,44.9173,0.66,108.9888,15.9
6/16/06,126.53,126.61,126.36,126.38,794800,61.5661,38.5986,127.0881,126.046,126.9072,-76.7816,45.6384,0.61,109.0001,17.25
6/19/06,125.66,125.88,125.6,125.81,412300,58.6755,52.1291,126.9664,126.008,126.5672,-89.8851,42.2437,0.64,109.2458,17.83
6/20/06,125.75,126.2,125.7,125.93,28800,49.8696,56.7037,126.8677,126.09,126.3182,-87.1264,43.2015,0.66,109.1109,16.69
6/21/06,126.62,126.95,126.5,126.82,49800,52.8425,53.7959,126.8631,126.244,126.1982,-66.6667,49.8452,0.67,108.6587,15.52
6/22/06,125.92,126.1,125.75,125.97,89100,50.1503,50.9541,126.7781,126.182,126.1292,-86.2069,44.4925,0.64,109.1777,15.88
6/23/06,125.23,125.477,125.19,125.32,58500,41.7214,48.2381,126.6392,125.97,126.008,-96.0961,40.8775,0.58,109.5205,15.89
6/26/06,125.96,126.17,125.57,125.97,65000,26.3707,39.4141,126.5755,126.002,126.005,-74.5928,45.6345,0.58,109.4616,15.62
6/27/06,126.16,126.2675,125.95,125.95,145700,31.6288,33.2403,126.5159,126.006,126.048,-56.8182,45.5131,0.62,109.3131,16.4
6/28/06,125.74,125.82,125.37,125.73,62300,45.872,34.6238,126.4411,125.788,126.016,-69.3182,44.1233,0.63,109.4836,15.79
6/29/06,125.71,126.93,125.46,126.81,119700,62.1338,46.5448,126.4762,125.956,126.069,-7.9545,51.8902,0.61,109.3117,13.03
6/30/06,127.8,128.13,127.75,128.1,107000,80.7108,62.9055,126.6308,126.512,126.241,-1.0204,59.1875,0.52,108.3012,13.08
