timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
6/30/17,2423.4099,2429.2,2432.71,2421.6499,2428.5479,2428.45,2434.115,46.5204,38.888,-63.1963
7/3/17,2429.01,2431.3899,2439.1699,2428.6899,2428.5919,2426.4379,2431.67,44.4839,41.4414,-51.5586
7/5/17,2432.54,2430.78,2434.8999,2422.05,2428.9679,2429.07,2431.221,58.0536,49.686,-44.2227
7/6/17,2409.75,2423.4399,2424.28,2407.7,2427.1376,2422.882,2428.635,48.4987,50.3454,-91.5835
7/7/17,2425.1799,2413.52,2426.9199,2413.52,2426.9512,2423.978,2427.703,46.1658,50.906,-59.518
7/10/17,2427.4299,2424.51,2432,2422.27,2426.9968,2424.782,2426.616,43.0589,45.9078,-51.6681
7/11/17,2425.53,2427.3501,2429.3,2412.79,2426.8571,2424.086,2425.262,61.2638,50.1628,-55.6572
7/12/17,2443.25,2435.75,2445.76,2435.75,2428.4183,2426.228,2427.649,73.8839,59.4022,-16.0329
7/13/17,2447.8301,2444.99,2449.3201,2441.6899,2430.2671,2433.844,2428.363,84.9594,73.369,-5.7912
7/14/17,2459.27,2449.1599,2463.54,2446.6899,2433.0292,2440.662,2432.32,93.6375,84.1603,-7.3825
7/17/17,2459.1399,2459.5,2462.8201,2457.1599,2435.516,2447.004,2435.893,92.9457,90.5142,-7.6074
7/18/17,2460.6101,2455.8799,2460.9199,2450.3401,2437.9059,2454.02,2439.053,90.7909,92.458,-5.0656
7/19/17,2473.8301,2463.8501,2473.8301,2463.8501,2441.3272,2460.136,2443.182,93.5956,92.4441,0
7/20/17,2473.45,2475.5601,2477.6201,2468.4299,2444.3865,2465.26,2449.552,91.9915,92.126,-5.9642
7/21/17,2472.54,2467.3999,2472.54,2465.0601,2447.0678,2467.914,2454.288,89.2985,91.6285,-7.2655
7/24/17,2469.9099,2472.04,2473.1001,2466.3201,2449.2433,2470.068,2458.536,79.8774,87.0558,-11.0272
7/25/17,2477.1299,2477.8799,2481.24,2474.9099,2451.8991,2473.372,2463.696,76.4933,81.8897,-5.5889
7/26/17,2477.8301,2479.97,2481.6899,2474.9399,2454.3688,2474.172,2467.154,74.9638,77.1115,-5.6021
7/27/17,2475.4199,2482.76,2484.04,2459.9299,2456.3736,2474.566,2469.913,72.4671,74.6414,-12.0984
7/28/17,2472.1001,2469.1201,2473.53,2464.6599,2457.8714,2474.478,2471.196,63.838,70.423,-16.7578
7/31/17,2470.3,2475.9399,2477.96,2468.53,2459.0551,2474.556,2472.312,52.5786,62.9612,-28.4531
