Close Price,0,1,2,3,4,5,6
874.09,51741.36334,63301.00583,-278712.2851,6480886.575,8171214.421,8242198.81,8330556.752
845.14,14254.90284,-18444.07186,109623.3453,419772.6672,548317.0903,547255.5636,541631.0958
825.88,-31817.1275,-134964.8263,663621.4929,-7488978.384,-9391006.646,-9488177.863,-9620700.038
825.44,-31822.41927,-138006.3318,677942.9381,-7571305.839,-9493149.588,-9591705.526,-9726316.699
838.51,8346.661303,-40799.97259,215758.9688,-798611.5029,-979674.8521,-996470.2794,-1023517.381
832.23,-35569.97781,-154552.5725,757224.7124,-8427206.087,-10565838.63,-10675652.24,-10825738.1
845.85,-31571.91635,-146643.8078,719753.8505,-7805548.747,-9783639.373,-9886174.49,-10026824.9
868.6,-8133.208896,-87469.45643,438592.1303,-3789495.323,-4736450.038,-4790183.612,-4866412.066
869.89,1183.457262,-55723.22265,287435.0213,-1955338.246,-2434872.345,-2465309.706,-2510061.401
827.16,-70748.28333,-244962.5791,1187756.321,-14521967.53,-18224890.43,-18408931.54,-18657126.09
833.74,-12020.33067,-91522.50659,457051.0427,-4275461.683,-5349561.779,-5408509.497,-5491136.627
835.19,-13332.62569,-100065.2738,497933.6904,-4653348.312,-5822247.818,-5886427.711,-5976418.54
826.84,-2247.817561,-61297.69585,312995.4779,-2435700.947,-3039766.106,-3075676.875,-3127425.186
789.17,-26170.86178,-126176.3701,621309.5708,-6661699.037,-8348872.474,-8436687.695,-8557353.886
788.42,-42608.57905,-165113.0581,806154.2317,-9402466.704,-11794444.31,-11915250.52,-12079245.29
778.94,-22776.31847,-116119.0986,572938.398,-6024794.609,-7549016.954,-7628925.982,-7739036.262
770.05,-42120.59535,-187618.1224,913779.8376,-10000038.17,-12535276.93,-12666266.06,-12845788.52
743.33,-111561.7127,-342854.7591,1651336.491,-21336953.04,-26791679.88,-27057922.02,-27414244.87
773.14,21211.67362,-21574.74452,123168.2288,1062644.381,1365359.921,1369506.907,1368891.031
764.9,-53768.29623,-209405.4381,1017028.722,-11777103.81,-14771875.23,-14923510.73,-15129638.89
752.83,-53596.49362,-210065.2827,1020045.51,-11775787.76,-14769732.6,-14921489.33,-15127880.24
735.09,-147353.169,-454542.8227,2183241.654,-28095582.18,-35276572.92,-35627547.15,-36097585.4
700.82,-229602.4184,-647554.4541,3100454.068,-41783244.11,-52484962.33,-53000422.43,-53686332.98
